name,country_of_citizenship,position,foot,height_in_cm,current_club_domestic_competition_id,current_club_name,market_value_in_eur,yellow_cards,red_cards,goals,assists,minutes_played,age
Noah Atubolu,Germany,Goalkeeper,right,190.0,L1,SC Freiburg,10000000.0,0,0,0,0,4080,22
Danilo,Brazil,Defender,right,184.0,IT1,Juventus FC,10000000.0,12,0,9,8,6093,33
Toni Kroos,Germany,Midfield,right,183.0,ES1,Real Madrid,10000000.0,5,0,1,10,3181,35
Bryan Heynen,Belgium,Midfield,right,183.0,BE1,KRC Genk,10000000.0,4,0,6,3,2248,28
Predrag Rajkovic,Serbia,Goalkeeper,right,191.0,ES1,RCD Mallorca,10000000.0,2,0,0,0,3240,29
Sheraldo Becker,Suriname,Attack,right,180.0,L1,1.FC Union Berlin,10000000.0,1,0,6,4,2148,30
Aleksey Miranchuk,Russia,Midfield,left,182.0,IT1,Atalanta BC,10000000.0,2,0,4,12,1851,29
Nino,Brazil,Defender,right,188.0,RU1,Zenit St. Petersburg,10000000.0,2,0,1,0,1522,27
Joris Chotard,France,Midfield,right,179.0,FR1,Montpellier HSC,10000000.0,5,0,0,3,2593,23
Romain Del Castillo,France,Attack,left,172.0,FR1,Stade Brestois 29,10000000.0,4,0,8,8,2521,28
Samú Costa,Portugal,Midfield,left,185.0,ES1,RCD Mallorca,10000000.0,9,0,1,1,2649,24
Arnau Martínez,Spain,Defender,right,182.0,ES1,Girona FC,10000000.0,5,0,0,3,1567,21
Clément Lenglet,France,Defender,left,186.0,GB1,Aston Villa,10000000.0,4,0,0,1,1425,29
Umar Sadiq,Nigeria,Attack,right,191.0,ES1,Real Sociedad,10000000.0,4,0,3,1,1364,28
Altay Bayındır,Türkiye,Goalkeeper,right,198.0,TR1,Fenerbahce,10000000.0,0,0,0,0,450,26
Boulaye Dia,Senegal,Attack,right,180.0,IT1,US Salernitana 1919,10000000.0,1,0,4,0,1157,28
Anthony Martial,France,Attack,right,181.0,GB1,Manchester United,10000000.0,0,0,1,1,490,29
Johan Vásquez,Mexico,Defender,left,185.0,IT1,Genoa CFC,10000000.0,6,0,2,1,2943,26
Yegor Yarmolyuk,Ukraine,Midfield,right,180.0,GB1,Brentford FC,10000000.0,2,0,0,0,721,20
Giovanni Simeone,Argentina,Attack,right,180.0,IT1,SSC Napoli,10000000.0,6,0,3,1,1093,29
Salih Özcan,Türkiye,Midfield,right,183.0,L1,Borussia Dortmund,10000000.0,3,0,0,0,1785,27
Mehdi Taremi,Iran,Attack,right,185.0,PO1,FC Porto,10000000.0,4,0,9,7,2194,32
Mergim Berisha,Germany,Attack,right,188.0,L1,TSG 1899 Hoffenheim,10000000.0,0,0,0,0,340,26
Facundo Pellistri,Uruguay,Attack,right,175.0,ES1,Granada CF,10000000.0,2,0,2,3,1498,23
David García,Spain,Defender,both,186.0,ES1,CA Osasuna,10000000.0,7,0,0,1,2816,30
Jens Cajuste,Sweden,Midfield,right,188.0,IT1,SSC Napoli,10000000.0,9,0,0,2,1408,25
İrfan Can Kahveci,Türkiye,Attack,left,180.0,TR1,Fenerbahce,10000000.0,5,0,16,11,2365,29
Jakub Moder,Poland,Midfield,right,191.0,GB1,Brighton & Hove Albion,10000000.0,2,0,0,0,732,25
Baptiste Santamaria,France,Midfield,right,183.0,FR1,Stade Rennais FC,10000000.0,4,0,0,2,2287,29
Matías Viña,Uruguay,Defender,left,175.0,IT1,US Sassuolo,10000000.0,2,0,0,3,1116,27
Ben Doak,Scotland,Attack,right,173.0,GB1,Liverpool FC,10000000.0,0,0,0,0,182,19
Matthias Ginter,Germany,Defender,right,189.0,L1,SC Freiburg,10000000.0,3,0,0,2,2851,31
Pau López,Spain,Goalkeeper,left,189.0,FR1,Olympique Marseille,10000000.0,2,0,0,0,4350,30
Geny Catamo,Mozambique,Attack,left,173.0,PO1,Sporting CP,10000000.0,2,0,5,3,2023,24
Sem Steijn,Netherlands,Midfield,right,173.0,NL1,Twente Enschede FC,10000000.0,1,0,19,3,2802,23
Mostafa Mohamed,Egypt,Attack,right,185.0,FR1,FC Nantes,10000000.0,3,1,8,2,2017,27
Alfie Doughty,England,Midfield,left,183.0,GB1,Luton Town,10000000.0,5,0,2,8,3238,25
Raphael Onyedika,Nigeria,Midfield,right,184.0,BE1,Club Brugge KV,10000000.0,6,0,0,2,2036,23
Josh Cullen,Ireland,Midfield,right,175.0,GB1,Burnley FC,10000000.0,10,0,2,3,2150,28
Pablo Sarabia,Spain,Attack,left,174.0,GB1,Wolverhampton Wanderers,10000000.0,7,0,4,7,2017,32
Silas,DR Congo,Attack,right,189.0,L1,VfB Stuttgart,10000000.0,0,0,7,6,994,26
Thilo Kehrer,Germany,Defender,right,186.0,FR1,AS Monaco,10000000.0,7,0,1,1,1607,28
Nikola Vlašić,Croatia,Midfield,right,179.0,IT1,Torino FC,10000000.0,3,0,3,2,2759,27
Rocco Reitz,Germany,Midfield,right,176.0,L1,Borussia Mönchengladbach,10000000.0,2,0,6,3,2359,22
Houssem Aouar,Algeria,Midfield,right,175.0,IT1,AS Roma,10000000.0,3,0,4,0,1171,26
Pierre Lees-Melou,France,Midfield,right,185.0,FR1,Stade Brestois 29,10000000.0,12,0,4,0,2521,31
Lorenz Assignon,France,Defender,right,181.0,FR1,Stade Rennais FC,10000000.0,9,0,3,4,2612,24
Jonas Hofmann,Germany,Midfield,right,176.0,L1,Bayer 04 Leverkusen,10000000.0,4,0,8,12,2768,32
Faris Moumbagna,Cameroon,Attack,left,185.0,FR1,Olympique Marseille,10000000.0,2,0,7,3,1370,24
André Gomes,Portugal,Midfield,right,188.0,GB1,Everton FC,10000000.0,4,0,2,0,582,31
Saša Lukić,Serbia,Midfield,right,182.0,GB1,Fulham FC,10000000.0,3,0,1,0,1300,28
Tommaso Pobega,Italy,Midfield,left,188.0,IT1,AC Milan,10000000.0,0,0,0,0,464,25
Mohamed-Ali Cho,France,Attack,left,182.0,ES1,Real Sociedad,10000000.0,2,0,1,3,1324,21
Yusuf Yazıcı,Türkiye,Midfield,left,184.0,FR1,LOSC Lille,10000000.0,5,0,5,2,1347,28
Mario Stroeykens,Belgium,Midfield,right,177.0,BE1,RSC Anderlecht,10000000.0,4,0,4,5,1697,20
Tetê,Brazil,Attack,left,175.0,TR1,Galatasaray,10000000.0,2,0,1,5,1423,24
Tijjani Noslin,Netherlands,Attack,right,178.0,IT1,Hellas Verona,10000000.0,4,1,9,6,2463,25
Abdoulaye Doucouré,Mali,Midfield,right,183.0,GB1,Everton FC,10000000.0,7,0,7,1,2642,32
Andreas Schjelderup,Norway,Attack,right,176.0,DK1,FC Nordsjaelland,10000000.0,0,0,3,6,1500,20
Rasmus Kristensen,Denmark,Defender,right,187.0,IT1,AS Roma,10000000.0,5,0,1,2,1878,27
Ryan Sessegnon,England,Defender,left,178.0,GB1,Tottenham Hotspur,10000000.0,0,0,0,0,7,24
Josha Vagnoman,Germany,Defender,right,190.0,L1,VfB Stuttgart,10000000.0,2,0,2,2,1353,24
Zakaria Aboukhlal,Morocco,Attack,both,179.0,FR1,FC Toulouse,10000000.0,2,0,3,0,798,24
Nabil Bentaleb,Algeria,Midfield,left,187.0,FR1,LOSC Lille,10000000.0,7,0,0,3,1967,30
Akor Adams,Nigeria,Attack,right,190.0,FR1,Montpellier HSC,10000000.0,2,0,8,1,2264,25
Mads Roerslev,Denmark,Defender,right,184.0,GB1,Brentford FC,10000000.0,2,0,1,2,2153,25
Joseph Paintsil,Ghana,Attack,right,169.0,BE1,KRC Genk,9500000.0,9,1,7,4,2146,27
Batista Mendy,France,Midfield,right,191.0,TR1,Trabzonspor,9500000.0,10,0,1,0,2756,25
Fabiano Parisi,Italy,Defender,left,178.0,IT1,ACF Fiorentina,9500000.0,4,0,0,1,1660,24
Hicham Boudaoui,Algeria,Midfield,right,175.0,FR1,OGC Nice,9000000.0,5,0,2,0,1609,25
Bono,Morocco,Goalkeeper,left,195.0,ES1,Sevilla FC,9000000.0,0,0,0,0,180,33
Andreas Hanche-Olsen,Norway,Defender,right,185.0,L1,1.FSV Mainz 05,9000000.0,5,0,1,0,994,28
Alexandre Lacazette,France,Attack,right,175.0,FR1,Olympique Lyon,9000000.0,3,1,19,3,2305,33
Adama Traoré,Spain,Attack,right,178.0,GB1,Fulham FC,9000000.0,2,0,2,3,364,29
Mykola Shaparenko,Ukraine,Midfield,right,178.0,UKR1,Dynamo Kyiv,9000000.0,8,0,5,8,2008,26
Maxwel Cornet,Cote d'Ivoire,Attack,left,179.0,GB1,West Ham United,9000000.0,0,0,1,1,274,28
Luis Chávez,Mexico,Midfield,left,178.0,RU1,Dynamo Moscow,9000000.0,5,0,4,2,2205,29
Arne Engels,Belgium,Midfield,right,185.0,L1,FC Augsburg,9000000.0,1,1,3,5,1486,21
Artem Bondarenko,Ukraine,Midfield,left,182.0,UKR1,Shakhtar Donetsk,9000000.0,2,2,6,8,2300,24
Ramiz Zerrouki,Algeria,Midfield,right,183.0,NL1,Feyenoord Rotterdam,9000000.0,5,0,1,0,2080,26
Hakim Ziyech,Morocco,Attack,left,180.0,TR1,Galatasaray,9000000.0,5,0,8,4,1329,31
Ainsley Maitland-Niles,England,Defender,right,180.0,FR1,Olympique Lyon,9000000.0,1,1,1,4,1432,27
Alban Lafont,France,Goalkeeper,right,196.0,FR1,FC Nantes,9000000.0,2,0,0,0,2497,26
Andy Diouf,France,Midfield,left,187.0,FR1,RC Lens,9000000.0,2,0,1,0,1436,21
Jamie Leweling,Germany,Attack,both,185.0,L1,VfB Stuttgart,9000000.0,3,0,4,7,1647,23
Lucas Ocampos,Argentina,Attack,both,187.0,ES1,Sevilla FC,9000000.0,13,0,5,4,3619,30
Marc Roca,Spain,Midfield,left,184.0,ES1,Real Betis Balompié,9000000.0,7,0,4,3,2622,28
Alejo Véliz,Argentina,Attack,right,186.0,ES1,Sevilla FC,9000000.0,1,0,1,0,76,21
Hyun-seok Hong,"Korea, South",Midfield,left,177.0,BE1,KAA Gent,9000000.0,1,0,5,5,2004,25
Jonathan Bamba,Cote d'Ivoire,Attack,right,175.0,ES1,Celta de Vigo,9000000.0,0,0,5,2,2038,28
Chermiti,Portugal,Attack,right,192.0,GB1,Everton FC,9000000.0,4,0,0,0,208,20
Przemyslaw Frankowski,Poland,Midfield,right,175.0,FR1,RC Lens,9000000.0,5,0,4,4,2884,29
Rubén Vargas,Switzerland,Attack,right,179.0,L1,FC Augsburg,9000000.0,3,0,4,4,2067,26
Reinildo Mandava,Mozambique,Defender,left,180.0,ES1,Atlético de Madrid,9000000.0,3,0,2,1,827,31
Deivid Washington,Brazil,Attack,right,187.0,GB1,Chelsea FC,9000000.0,0,0,0,0,25,19
Bertrand Traoré,Burkina Faso,Attack,left,181.0,ES1,Villarreal CF,9000000.0,4,0,1,1,600,29
Justin Njinmah,Germany,Attack,right,185.0,L1,SV Werder Bremen,9000000.0,1,0,6,2,1012,24
Hannibal,Tunisia,Midfield,right,183.0,ES1,Sevilla FC,9000000.0,3,0,1,0,294,22
Vincenzo Grifo,Italy,Attack,right,180.0,L1,SC Freiburg,9000000.0,3,0,12,10,3152,31
Ivan Oblyakov,Russia,Midfield,left,176.0,RU1,CSKA Moscow,9000000.0,1,0,4,5,3076,26
Hákon Arnar Haraldsson,Iceland,Attack,right,180.0,FR1,LOSC Lille,9000000.0,5,0,2,0,1388,21
Keito Nakamura,Japan,Attack,right,180.0,FR1,Stade Reims,9000000.0,1,0,4,1,1388,24
Abdülkerim Bardakcı,Türkiye,Defender,left,185.0,TR1,Galatasaray,9000000.0,6,0,6,0,3347,30
Mile Svilar,Serbia,Goalkeeper,right,189.0,IT1,AS Roma,9000000.0,2,0,0,0,2730,25
Téji Savanier,France,Midfield,right,172.0,FR1,Montpellier HSC,9000000.0,7,1,9,7,2778,33
Iván Fresneda,Spain,Defender,right,183.0,PO1,Sporting CP,9000000.0,0,0,0,0,153,20
Flynn Downes,England,Midfield,right,178.0,GB1,West Ham United,9000000.0,0,0,0,0,78,26
Jeff Chabot,Germany,Defender,left,195.0,L1,1.FC Köln,9000000.0,10,0,1,1,2917,27
Marvin Ducksch,Germany,Attack,right,188.0,L1,SV Werder Bremen,9000000.0,9,0,13,10,2773,30
Will Hughes,England,Midfield,left,185.0,GB1,Crystal Palace,9000000.0,6,0,0,1,2009,29
Emmanuel Agbadou,Cote d'Ivoire,Defender,right,192.0,FR1,Stade Reims,9000000.0,1,0,1,1,2595,27
Stefan Ortega,Germany,Goalkeeper,right,185.0,GB1,Manchester City,9000000.0,0,0,0,0,1532,32
Juan Miranda,Spain,Defender,left,185.0,ES1,Real Betis Balompié,9000000.0,9,0,2,2,2181,25
Michel-Ange Balikwisha,Belgium,Attack,right,178.0,BE1,Royal Antwerp FC,9000000.0,2,0,8,7,2440,23
Anass Zaroury,Morocco,Attack,right,176.0,GB1,Burnley FC,9000000.0,0,1,0,0,216,24
Maxim De Cuyper,Belgium,Defender,left,182.0,BE1,Club Brugge KV,9000000.0,5,0,3,10,2623,24
Alexander Djiku,Ghana,Defender,right,182.0,TR1,Fenerbahce,9000000.0,7,0,3,2,2256,30
Abde Ezzalzouli,Morocco,Attack,right,177.0,ES1,Real Betis Balompié,9000000.0,1,0,5,0,1481,23
Djibril Sow,Switzerland,Midfield,right,184.0,ES1,Sevilla FC,9000000.0,5,0,1,2,2094,28
Frank Onyeka,Nigeria,Midfield,right,183.0,GB1,Brentford FC,9000000.0,8,0,1,2,1153,27
Samuel Gigot,France,Defender,right,187.0,FR1,Olympique Marseille,9000000.0,10,1,3,0,2581,31
Máximo Perrone,Argentina,Midfield,left,177.0,ES1,UD Las Palmas,9000000.0,6,0,0,0,1692,22
Scott McKenna,Scotland,Defender,left,189.0,DK1,FC Copenhagen,9000000.0,0,0,0,0,1065,28
Joseph Okumu,Kenya,Defender,right,190.0,FR1,Stade Reims,9000000.0,3,0,1,0,1743,27
Robert Renan,Brazil,Defender,left,186.0,RU1,Zenit St. Petersburg,9000000.0,1,0,0,0,585,21
Christian Mawissa,France,Defender,left,180.0,FR1,FC Toulouse,9000000.0,6,0,2,0,1302,19
Roony Bardghji,Sweden,Attack,left,173.0,DK1,FC Copenhagen,9000000.0,4,0,10,0,1621,19
Alidu Seidu,Ghana,Defender,right,173.0,FR1,Clermont Foot 63,9000000.0,8,1,0,1,1782,24
Michael Folorunsho,Italy,Midfield,right,190.0,IT1,Hellas Verona,8500000.0,5,0,5,1,2794,27
Alistair Johnston,Canada,Defender,right,180.0,SC1,Celtic FC,8500000.0,7,0,1,6,3187,26
Osame Sahraoui,Norway,Attack,right,170.0,NL1,SC Heerenveen,8500000.0,0,0,8,8,2563,23
Nicolas Pépé,Cote d'Ivoire,Attack,left,183.0,TR1,Trabzonspor,8500000.0,0,0,5,3,1123,29
Matheus Henrique,Brazil,Midfield,right,175.0,IT1,US Sassuolo,8500000.0,8,0,2,3,2622,27
Callum McGregor,Scotland,Midfield,left,178.0,SC1,Celtic FC,8500000.0,6,0,2,5,3248,31
Bright Osayi-Samuel,Nigeria,Defender,right,175.0,TR1,Fenerbahce,8500000.0,13,0,4,5,2140,27
Todd Cantwell,England,Midfield,right,180.0,SC1,Rangers FC,8500000.0,9,0,6,6,2393,26
Michy Batshuayi,Belgium,Attack,right,185.0,TR1,Fenerbahce,8500000.0,4,0,14,2,1011,31
Yari Verschaeren,Belgium,Midfield,right,170.0,BE1,RSC Anderlecht,8500000.0,0,0,0,5,936,23
Julien Duranville,Belgium,Attack,right,173.0,L1,Borussia Dortmund,8500000.0,0,0,0,0,10,18
Rolando Mandragora,Italy,Midfield,left,183.0,IT1,ACF Fiorentina,8500000.0,9,0,4,3,2021,27
Mahmoud Trezeguet,Egypt,Attack,right,180.0,TR1,Trabzonspor,8500000.0,2,0,10,6,1596,30
Jerry St. Juste,Netherlands,Defender,right,186.0,PO1,Sporting CP,8000000.0,2,0,0,1,867,28
Fran Navarro,Spain,Attack,right,179.0,GR1,Olympiacos Piraeus,8000000.0,2,0,4,1,994,27
Rui Silva,Portugal,Goalkeeper,left,191.0,ES1,Real Betis Balompié,8000000.0,4,0,0,0,3105,31
Robin Hack,Germany,Attack,right,178.0,L1,Borussia Mönchengladbach,8000000.0,2,0,13,3,1560,26
Morgan Sanson,France,Midfield,right,180.0,FR1,OGC Nice,8000000.0,4,0,2,3,1980,30
Benjamin André,France,Midfield,right,180.0,FR1,LOSC Lille,8000000.0,9,0,4,0,2785,34
Dan Burn,England,Defender,left,201.0,GB1,Newcastle United,8000000.0,4,0,4,2,3371,32
Danny Ings,England,Attack,right,177.0,GB1,West Ham United,8000000.0,1,0,1,0,667,32
Iñaki Peña,Spain,Goalkeeper,right,184.0,ES1,FC Barcelona,8000000.0,0,0,0,0,1560,25
Sardar Azmoun,Iran,Attack,both,186.0,IT1,AS Roma,8000000.0,4,1,3,4,801,30
Danilo Pereira,Portugal,Midfield,right,188.0,FR1,Paris Saint-Germain,8000000.0,2,0,0,0,2152,33
Ruslan Malinovskyi,Ukraine,Midfield,left,181.0,IT1,Genoa CFC,8000000.0,7,0,4,2,1599,31
Vincent Janssen,Netherlands,Attack,left,185.0,BE1,Royal Antwerp FC,8000000.0,7,0,12,5,2885,30
Matteo Gabbia,Italy,Defender,right,185.0,IT1,AC Milan,8000000.0,9,0,3,1,2784,25
Sandi Lovrić,Slovenia,Midfield,right,180.0,IT1,Udinese Calcio,8000000.0,1,1,2,3,2146,26
Rafael Borré,Colombia,Attack,right,174.0,L1,SV Werder Bremen,8000000.0,0,0,4,0,991,29
Michal Sadílek,Czech Republic,Midfield,left,169.0,NL1,Twente Enschede FC,8000000.0,8,0,1,3,3345,25
Jordan Lotomba,Switzerland,Defender,right,177.0,FR1,OGC Nice,8000000.0,4,0,1,0,1810,26
Thomas Müller,Germany,Attack,right,185.0,L1,Bayern Munich,8000000.0,0,0,7,12,2180,35
Felipe Anderson,Brazil,Attack,right,175.0,IT1,SS Lazio,8000000.0,3,0,5,7,3723,31
Michael Gregoritsch,Austria,Attack,left,193.0,L1,SC Freiburg,8000000.0,2,0,12,6,2171,30
Júnior Alonso,Paraguay,Defender,left,185.0,RU1,FC Krasnodar,8000000.0,4,0,0,3,2966,32
Wissam Ben Yedder,France,Attack,both,170.0,FR1,AS Monaco,8000000.0,2,0,16,2,2322,34
Joel Matip,Cameroon,Defender,right,195.0,GB1,Liverpool FC,8000000.0,2,0,0,0,970,33
Andrija Zivkovic,Serbia,Attack,left,169.0,GR1,PAOK Thessaloniki,8000000.0,5,0,13,8,2031,28
Myrto Uzuni,Albania,Attack,right,178.0,ES1,Granada CF,8000000.0,3,0,11,1,2461,29
Ross Barkley,England,Midfield,right,189.0,GB1,Luton Town,8000000.0,6,0,5,6,2968,31
Yeray Álvarez,Spain,Defender,right,182.0,ES1,Athletic Bilbao,8000000.0,1,1,0,0,1161,30
Jacob Bruun Larsen,Denmark,Attack,right,183.0,GB1,Burnley FC,8000000.0,1,0,6,0,1292,26
Óscar Mingueza,Spain,Defender,right,184.0,ES1,Celta de Vigo,8000000.0,4,0,2,3,3118,25
Isco,Spain,Midfield,right,176.0,ES1,Real Betis Balompié,8000000.0,11,0,9,7,2791,32
Daler Kuzyaev,Russia,Midfield,right,182.0,FR1,Le Havre AC,8000000.0,1,0,2,2,2100,32
Dmitriy Barinov,Russia,Midfield,both,181.0,RU1,Lokomotiv Moscow,8000000.0,12,0,2,1,2841,28
Uğurcan Çakır,Türkiye,Goalkeeper,right,191.0,TR1,Trabzonspor,8000000.0,4,0,0,0,3134,28
Jean Butez,France,Goalkeeper,right,189.0,BE1,Royal Antwerp FC,8000000.0,1,0,0,0,3420,29
Duván Zapata,Colombia,Attack,right,188.0,IT1,Torino FC,8000000.0,2,0,13,4,3083,33
Christian Eriksen,Denmark,Midfield,right,182.0,GB1,Manchester United,8000000.0,1,0,1,3,1432,33
Nicolás Tagliafico,Argentina,Defender,left,172.0,FR1,Olympique Lyon,8000000.0,7,0,3,2,2127,32
Pascal Groß,Germany,Midfield,right,181.0,GB1,Brighton & Hove Albion,8000000.0,7,0,5,13,4104,33
Joe Rodon,Wales,Defender,right,193.0,GB1,Tottenham Hotspur,8000000.0,1,0,0,0,390,27
Leandro Paredes,Argentina,Midfield,right,180.0,IT1,AS Roma,8000000.0,18,1,5,7,3854,30
Brendan Chardonnet,France,Defender,right,184.0,FR1,Stade Brestois 29,8000000.0,4,0,1,1,2970,30
Arnaud Nordin,France,Attack,left,170.0,FR1,Montpellier HSC,8000000.0,1,1,6,4,1251,26
Lukas Klostermann,Germany,Defender,right,189.0,L1,RB Leipzig,8000000.0,3,0,1,0,1970,28
Vladimír Coufal,Czech Republic,Defender,right,174.0,GB1,West Ham United,8000000.0,8,0,0,7,3901,32
Angeliño,Spain,Defender,left,171.0,IT1,AS Roma,8000000.0,4,0,1,2,2754,28
Gustavo Scarpa,Brazil,Midfield,left,177.0,GR1,Olympiacos Piraeus,8000000.0,1,0,0,0,422,31
David Brooks,Wales,Attack,left,173.0,GB1,AFC Bournemouth,8000000.0,1,0,2,3,389,27
Yehvann Diouf,France,Goalkeeper,right,190.0,FR1,Stade Reims,8000000.0,0,0,0,0,3060,25
Konstantinos Koulierakis,Greece,Defender,left,188.0,GR1,PAOK Thessaloniki,8000000.0,5,0,1,0,1738,21
Naouirou Ahamada,France,Midfield,right,183.0,GB1,Crystal Palace,8000000.0,4,0,0,0,376,22
Leo Østigård,Norway,Defender,right,182.0,IT1,SSC Napoli,8000000.0,2,0,2,0,1947,25
Jesper Karlsson,Sweden,Attack,right,179.0,IT1,Bologna FC 1909,8000000.0,0,0,0,0,485,26
Soungoutou Magassa,France,Defender,right,188.0,FR1,AS Monaco,8000000.0,7,0,0,0,1343,21
Isi Palazón,Spain,Attack,left,169.0,ES1,Rayo Vallecano,8000000.0,7,0,5,1,2944,30
Neil El Aynaoui,Morocco,Midfield,right,185.0,FR1,RC Lens,8000000.0,2,0,1,3,1913,23
Evann Guessand,Cote d'Ivoire,Attack,right,188.0,FR1,OGC Nice,8000000.0,1,0,6,2,1540,23
Caleb Okoli,Italy,Defender,right,191.0,IT1,Frosinone Calcio,8000000.0,9,0,0,1,3215,23
Luca Ranieri,Italy,Defender,left,187.0,IT1,ACF Fiorentina,8000000.0,14,0,2,1,2612,25
Tajon Buchanan,Canada,Midfield,right,183.0,IT1,Inter Milan,8000000.0,2,0,4,2,1375,26
Ayase Ueda,Japan,Attack,right,182.0,NL1,Feyenoord Rotterdam,8000000.0,0,0,5,2,1204,26
Danil Glebov,Russia,Midfield,right,178.0,RU1,FC Rostov,8000000.0,1,0,2,2,3074,25
Hugo Guillamón,Spain,Midfield,right,178.0,ES1,Valencia CF,8000000.0,7,0,1,0,1558,25
Santiago Bueno,Uruguay,Defender,right,190.0,ES1,Girona FC,8000000.0,2,0,0,0,1216,26
Carlos Forbs,Portugal,Attack,left,169.0,NL1,Ajax Amsterdam,8000000.0,0,0,3,5,1330,20
Rafa Mujica,Spain,Attack,right,183.0,PO1,FC Arouca,8000000.0,4,1,22,4,2894,26
David Jurásek,Czech Republic,Defender,left,183.0,L1,TSG 1899 Hoffenheim,8000000.0,2,0,0,1,925,24
Kassoum Ouattara,France,Defender,left,176.0,FR1,AS Monaco,8000000.0,2,0,1,0,634,20
Junya Ito,Japan,Attack,right,176.0,FR1,Stade Reims,8000000.0,2,0,3,7,2723,31
Sergey Pinyaev,Russia,Attack,both,167.0,RU1,Lokomotiv Moscow,8000000.0,4,0,3,5,2196,20
Ben Brereton Díaz,Chile,Attack,right,185.0,ES1,Villarreal CF,8000000.0,5,0,6,1,1760,25
Josep Martínez,Spain,Goalkeeper,right,191.0,IT1,Genoa CFC,8000000.0,4,0,0,0,3240,26
Julián Araujo,Mexico,Defender,right,176.0,ES1,UD Las Palmas,8000000.0,6,1,2,0,1654,23
Fabian Rieder,Switzerland,Midfield,left,179.0,FR1,Stade Rennais FC,8000000.0,1,0,3,1,671,22
Aihen Muñoz,Spain,Defender,left,175.0,ES1,Real Sociedad,8000000.0,3,0,0,2,1753,27
Mousa Tamari,Jordan,Attack,left,178.0,FR1,Montpellier HSC,8000000.0,0,0,5,4,1940,27
Jorge Carrascal,Colombia,Midfield,right,180.0,RU1,Dynamo Moscow,8000000.0,7,0,1,7,1841,26
Pedrinho,Brazil,Attack,left,172.0,UKR1,Shakhtar Donetsk,8000000.0,5,0,3,2,2275,26
Benjamín Garré,Argentina,Attack,left,172.0,RU1,Krylya Sovetov Samara,8000000.0,3,0,9,3,1671,24
Daniel Bragança,Portugal,Midfield,left,178.0,PO1,Sporting CP,8000000.0,3,0,4,3,1660,25
Tomas Cvancara,Czech Republic,Attack,right,190.0,L1,Borussia Mönchengladbach,8000000.0,5,0,6,3,1049,24
Mateus Fernandes,Portugal,Midfield,right,178.0,PO1,Sporting CP,8000000.0,8,0,1,2,2563,20
Ethan Nwaneri,England,Midfield,left,176.0,GB1,Arsenal FC,8000000.0,0,0,0,0,13,17
Eduardo Quaresma,Portugal,Defender,right,185.0,PO1,Sporting CP,8000000.0,3,0,1,0,1350,22
Petar Musa,Croatia,Attack,right,190.0,PO1,SL Benfica,8000000.0,2,1,6,2,864,26
Saúl Coco,Equatorial Guinea,Defender,right,187.0,ES1,UD Las Palmas,8000000.0,6,1,1,0,2322,26
Alexsandro,Brazil,Defender,left,189.0,FR1,LOSC Lille,8000000.0,6,1,0,0,2428,25
Ben Johnson,England,Defender,right,184.0,GB1,West Ham United,8000000.0,1,0,0,0,679,25
Chiedozie Ogbene,Ireland,Attack,right,181.0,GB1,Luton Town,8000000.0,1,0,5,1,2324,27
Víctor Gómez,Spain,Defender,right,169.0,PO1,SC Braga,8000000.0,6,1,0,4,3089,24
Ismail Jakobs,Senegal,Defender,left,184.0,FR1,AS Monaco,8000000.0,0,0,1,2,1468,25
Fran Pérez,Spain,Attack,right,176.0,ES1,Valencia CF,8000000.0,4,0,1,4,2243,22
Warmed Omari,France,Defender,right,188.0,FR1,Stade Rennais FC,8000000.0,5,1,1,1,2611,24
Tanguy Ndombélé,France,Midfield,right,181.0,TR1,Galatasaray,8000000.0,0,0,0,1,547,28
Iván Jaime,Spain,Midfield,right,180.0,PO1,FC Porto,8000000.0,0,0,1,0,731,24
Kristian Thorstvedt,Norway,Midfield,left,189.0,IT1,US Sassuolo,8000000.0,7,0,6,1,2471,25
Matheus Reis,Brazil,Defender,left,184.0,PO1,Sporting CP,8000000.0,4,0,0,5,2342,29
Rodrigo Becão,Brazil,Defender,right,191.0,TR1,Fenerbahce,8000000.0,5,0,1,0,1303,29
Gustavo Sá,Portugal,Midfield,right,189.0,PO1,FC Famalicão,8000000.0,8,0,3,5,1953,20
Manu Sánchez,Spain,Defender,left,171.0,ES1,Celta de Vigo,8000000.0,3,0,0,5,1892,24
Loum Tchaouna,France,Attack,left,180.0,IT1,US Salernitana 1919,8000000.0,4,0,6,4,2233,21
Daniil Fomin,Russia,Midfield,right,187.0,RU1,Dynamo Moscow,8000000.0,6,0,3,7,2377,27
Pablo Rosario,Netherlands,Midfield,right,185.0,FR1,OGC Nice,8000000.0,4,0,0,1,2005,28
Salis Abdul Samed,Ghana,Midfield,right,179.0,FR1,RC Lens,8000000.0,4,0,0,0,2138,24
David Pereira da Costa,Portugal,Midfield,right,168.0,FR1,RC Lens,8000000.0,3,0,5,3,1765,24
Djed Spence,England,Defender,right,184.0,IT1,Genoa CFC,8000000.0,1,0,0,0,853,24
Luis Henrique,Brazil,Attack,right,181.0,FR1,Olympique Marseille,8000000.0,0,0,1,0,1141,23
Aleksandr Sobolev,Russia,Attack,right,195.0,RU1,Spartak Moscow,7500000.0,9,0,10,9,2415,27
Ferran Jutglà,Spain,Attack,right,175.0,BE1,Club Brugge KV,7500000.0,1,0,7,1,1230,26
